Date,Open,Close
2020-06-07,9666.85,9746.99
2020-06-08,9746.99,9782.01
2020-06-09,9782.0,9772.43
2020-06-10,9772.44,9885.0
2020-06-11,9885.22,9280.4
2020-06-12,9278.88,9465.13
2020-06-13,9464.96,9473.34
2020-06-14,9473.34,9342.1
2020-06-15,9342.1,9426.02
2020-06-16,9426.05,9525.59
2020-06-17,9526.97,9465.14
2020-06-18,9465.13,9386.32
2020-06-19,9386.32,9310.23
2020-06-20,9310.23,9358.95
2020-06-21,9358.95,9294.69
2020-06-22,9294.69,9685.69
2020-06-23,9685.69,9624.89
2020-06-24,9624.33,9296.49
2020-06-25,9298.33,9249.49
2020-06-26,9249.49,9162.21
2020-06-27,9162.21,9012.0
2020-06-28,9012.0,9116.35
2020-06-29,9116.16,9192.56
2020-06-30,9192.93,9138.55
2020-07-01,9138.08,9232.0
2020-07-02,9231.99,9086.54
2020-07-03,9086.54,9058.26
2020-07-04,9057.79,9135.46
2020-07-05,9135.0,9069.41
2020-07-06,9069.41,9344.2
2020-07-07,9342.47,9257.39
2020-07-08,9257.4,9436.06
2020-07-09,9436.06,9232.43
2020-07-10,9232.42,9288.34
2020-07-11,9288.34,9234.03
2020-07-12,9234.02,9302.75
2020-07-13,9303.31,9242.62
2020-07-14,9242.61,9255.85
2020-07-15,9255.85,9197.6
2020-07-16,9197.6,9133.72
2020-07-17,9133.72,9154.32
2020-07-18,9154.31,9170.28
2020-07-19,9170.3,9208.99
2020-07-20,9208.99,9160.78
2020-07-21,9160.78,9390.0
2020-07-22,9390.0,9518.16
2020-07-23,9518.16,9603.27
2020-07-24,9603.27,9537.8
2020-07-25,9538.1,9700.42
2020-07-26,9700.42,9931.54
2020-07-27,9931.54,11029.96
2020-07-28,11029.96,10906.27
2020-07-29,10906.27,11100.53
2020-07-30,11100.52,11099.61
2020-07-31,11099.79,11335.46
2020-08-01,11335.46,11801.17
2020-08-02,11801.17,11071.35
2020-08-03,11071.36,11219.81
2020-08-04,11219.68,11191.97
2020-08-05,11191.99,11744.91
2020-08-06,11744.91,11762.46
2020-08-07,11762.47,11594.23
2020-08-08,11594.36,11761.41
2020-08-09,11761.02,11681.68
2020-08-10,11681.69,11892.92
2020-08-11,11892.9,11392.08
2020-08-12,11392.09,11564.33
2020-08-13,11564.34,11780.0
2020-08-14,11779.77,11760.54
2020-08-15,11760.55,11852.4
2020-08-16,11852.4,11911.0
2020-08-17,11910.99,12281.13
2020-08-18,12281.15,11945.01
2020-08-19,11945.1,11754.59
2020-08-20,11754.38,11853.55
2020-08-21,11853.54,11531.34
2020-08-22,11531.23,11662.96
2020-08-23,11663.51,11648.13
2020-08-24,11648.12,11748.2
2020-08-25,11748.19,11318.42
2020-08-26,11318.42,11461.43
2020-08-27,11461.42,11330.38
2020-08-28,11330.38,11526.91
2020-08-29,11526.9,11465.84
2020-08-30,11465.84,11711.16
2020-08-31,11711.17,11649.51
2020-09-01,11649.51,11921.97
2020-09-02,11921.97,11388.54
2020-09-03,11388.54,10140.85
2020-09-04,10138.29,10446.25
2020-09-05,10446.25,10166.69
2020-09-06,10166.69,10256.2
2020-09-07,10255.89,10373.44
2020-09-08,10373.45,10126.65
