Date,Close
2019-01-01,3880.15
2019-01-02,3961.01
2019-01-03,3835.86
2019-01-04,3874.06
2019-01-05,3855.39
2019-01-06,4102.85
2019-01-07,4050.4
2019-01-08,4040.75
2019-01-09,4048.34
2019-01-10,3668.15
2019-01-11,3669.2
2019-01-12,3664.38
2019-01-13,3551.24
2019-01-14,3703.9
2019-01-15,3621.24
2019-01-16,3643.99
2019-01-17,3685.3
2019-01-18,3648.05
2019-01-19,3729.78
2019-01-20,3567.73
2019-01-21,3571.92
2019-01-22,3602.04
2019-01-23,3572.05
2019-01-24,3598.52
2019-01-25,3582.89
2019-01-26,3596.5
2019-01-27,3565.08
2019-01-28,3453.42
2019-01-29,3418.25
2019-01-30,3467.21
2019-01-31,3434.13
2019-02-01,3461.63
2019-02-02,3508.68
2019-02-03,3449.62
2019-02-04,3431.24
2019-02-05,3447.66
2019-02-06,3394.89
2019-02-07,3375.33
2019-02-08,3660.03
2019-02-09,3652.26
2019-02-10,3685.14
2019-02-11,3611.34
2019-02-12,3617.41
2019-02-13,3605.87
2019-02-14,3588.72
2019-02-15,3593.49
2019-02-16,3617.24
2019-02-17,3670.92
2019-02-18,3912.57
2019-02-19,3924.24
2019-02-20,3974.05
2019-02-21,3937.04
2019-02-22,3983.53
2019-02-23,4149.09
2019-02-24,3771.62
2019-02-25,3845.51
2019-02-26,3817.88
2019-02-27,3830.72
2019-02-28,3823.37
2019-03-01,3831.48
2019-03-02,3842.94
2019-03-03,3812.31
2019-03-04,3731.28
2019-03-05,3874.18
2019-03-06,3874.98
2019-03-07,3882.61
2019-03-08,3868.02
2019-03-09,3947.74
2019-03-10,3929.84
2019-03-11,3874.89
2019-03-12,3888.57
2019-03-13,3878.44
2019-03-14,3881.44
2019-03-15,3927.08
2019-03-16,4027.01
2019-03-17,3998.0
2019-03-18,3988.85
2019-03-19,4024.14
2019-03-20,4056.75
2019-03-21,3996.93
2019-03-22,4000.84
2019-03-23,4007.21
2019-03-24,3994.11
2019-03-25,3924.55
2019-03-26,3942.22
2019-03-27,4045.98
2019-03-28,4036.45
2019-03-29,4111.38
2019-03-30,4118.13
2019-03-31,4112.69
2019-04-01,4151.32
2019-04-02,4906.93
2019-04-03,4976.59
2019-04-04,4913.36
2019-04-05,5047.23
2019-04-06,5057.25
2019-04-07,5201.16
2019-04-08,5294.09
2019-04-09,5201.3
2019-04-10,5318.6
2019-04-11,5048.56
2019-04-12,5081.5
2019-04-13,5080.66
2019-04-14,5165.59
2019-04-15,5037.27
2019-04-16,5212.81
2019-04-17,5236.26
2019-04-18,5289.75
2019-04-19,5295.53
2019-04-20,5326.18
2019-04-21,5305.74
2019-04-22,5394.67
2019-04-23,5539.1
2019-04-24,5454.58
2019-04-25,5162.67
2019-04-26,5234.09
2019-04-27,5229.48
2019-04-28,5272.45
2019-04-29,5237.96
2019-04-30,5350.64
2019-05-01,5389.54
2019-05-02,5500.72
2019-05-03,5753.38
2019-05-04,5840.08
2019-05-05,5794.14
2019-05-06,5748.17
2019-05-07,5819.57
2019-05-08,5998.71
2019-05-09,6171.96
2019-05-10,6358.29
2019-05-11,7191.36
2019-05-12,6977.63
2019-05-13,7806.36
2019-05-14,7980.13
2019-05-15,8183.83
2019-05-16,7874.11
2019-05-17,7371.96
2019-05-18,7266.08
2019-05-19,8193.14
2019-05-20,7998.29
2019-05-21,7947.93
2019-05-22,7626.89
2019-05-23,7876.5
2019-05-24,7996.4
2019-05-25,8059.13
2019-05-26,8726.23
2019-05-27,8785.17
2019-05-28,8718.85
2019-05-29,8664.56
2019-05-30,8276.25
2019-05-31,8550.67
2019-06-01,8555.87
2019-06-02,8737.91
2019-06-03,8114.49
2019-06-04,7677.47
2019-06-05,7791.29
2019-06-06,7807.36
2019-06-07,8002.63
2019-06-08,7933.78
2019-06-09,7643.44
2019-06-10,8021.0
2019-06-11,7917.32
2019-06-12,8174.14
2019-06-13,8235.57
2019-06-14,8693.96
2019-06-15,8853.56
2019-06-16,8979.18
2019-06-17,9336.01
2019-06-18,9081.71
2019-06-19,9280.54
2019-06-20,9536.85
2019-06-21,10218.87
2019-06-22,10689.54
2019-06-23,10855.99
2019-06-24,11035.74
2019-06-25,11740.34
2019-06-26,12913.28
2019-06-27,11154.09
2019-06-28,12355.06
2019-06-29,11884.1
2019-06-30,10769.05
2019-07-01,10591.87
2019-07-02,10844.13
2019-07-03,11981.61
2019-07-04,11156.52
2019-07-05,10993.25
2019-07-06,11248.94
2019-07-07,11474.28
2019-07-08,12296.16
2019-07-09,12567.02
2019-07-10,12099.12
2019-07-11,11343.12
2019-07-12,11797.37
2019-07-13,11363.97
2019-07-14,10204.41
2019-07-15,10850.26
2019-07-16,9423.44
2019-07-17,9696.15
2019-07-18,10638.35
2019-07-19,10532.94
2019-07-20,10759.42
2019-07-21,10586.71
2019-07-22,10325.87
2019-07-23,9854.15
2019-07-24,9772.14
2019-07-25,9882.43
2019-07-26,9847.45
2019-07-27,9478.32
2019-07-28,9531.77
2019-07-29,9506.93
2019-07-30,9595.52
2019-07-31,10089.25
2019-08-01,10409.79
2019-08-02,10528.99
2019-08-03,10820.41
2019-08-04,10978.91
2019-08-05,11807.96
2019-08-06,11467.1
2019-08-07,11974.28
2019-08-08,11982.8
2019-08-09,11865.21
2019-08-10,11293.59
2019-08-11,11549.06
2019-08-12,11387.41
2019-08-13,10872.0
2019-08-14,10031.89
2019-08-15,10308.51
2019-08-16,10360.43
2019-08-17,10220.75
2019-08-18,10326.25
2019-08-19,10922.16
2019-08-20,10770.76
2019-08-21,10131.67
2019-08-22,10104.11
2019-08-23,10410.49
